"year","acousticness","duration","energy","explicit","key","liveness","loudness","mode","tempo","pop.class"
1952,0.552,166267,0.483,0,"C",0.388,-9.929,0,128.32,"B"
2016,0.794,268560,0.732,1,"F",0.192,-6.873,1,124.021,"A"
2003,0.23,238960,0.789,1,"Gb",0.216,-6.052,1,132.042,"B"
1950,0.482,162195,0.81,0,"G",0.17,-6.625,0,113.683,"D"
1959,0.877,185200,0.293,1,"G",0.0867,-10.973,1,121.877,"C"
2003,0.0107,267600,0.731,1,"A",0.238,-6.18,1,149.987,"A"
2007,0.00141,207467,0.855,1,"Gb",0.681,-6.88,1,133.064,"B"
2016,0.134,195053,0.406,0,"Db",0.112,-9.961,0,128.014,"A"
1987,0.000942,152107,0.721,0,"C",0.115,-11.413,0,119.704,"C"
2008,0.159,158600,0.509,0,"F",0.153,-6.593,0,107.948,"B"
1931,0.835,163773,0.25,0,"F",0.413,-15.763,0,99.027,"D"
1953,0.979,156133,0.139,0,"F",0.124,-20.987,0,70.392,"D"
1937,0.929,155200,0.309,1,"Gb",0.285,-9.778,1,156.146,"D"
2007,0.0113,198880,0.851,1,"C",0.262,-2.9,1,159.989,"B"
1966,0.948,166560,0.0646,1,"D",0.193,-19.851,1,116.627,"C"
1972,0.649,132307,0.129,0,"D",0.0775,-20.989,0,86.62,"C"
1971,0.363,179387,0.779,0,"G",0.066,-6.705,0,119.602,"A"
1955,0.819,308773,0.231,0,"Ab",0.237,-8.209,0,78.52,"D"
1928,0.767,124300,0.242,0,"Gb",0.121,-18.559,0,115.29,"D"
1976,0.794,243733,0.209,1,"D",0.0774,-17.863,1,82.93,"C"
1977,0.0559,397373,0.611,0,"Db",0.0527,-12.221,0,107.65,"C"
1961,0.633,268440,0.192,0,"Eb",0.105,-17.839,0,93.623,"C"
1931,0.605,146500,0.148,0,"E",0.378,-14.487,0,95.034,"D"
2012,0.42,171827,0.465,1,"Ab",0.101,-8.077,1,141.793,"A"
2019,0.636,150613,0.544,0,"F",0.0813,-9.455,0,171.867,"A"
2000,0.849,284082,0.29,1,"B",0.7,-9.184,1,89.117,"B"
1928,0.996,326067,0.155,0,"E",0.126,-18.728,0,66.947,"D"
1992,0.00928,236200,0.581,0,"D",0.287,-7.084,0,114.886,"B"
1946,0.99,566120,0.172,0,"Eb",0.0942,-21.282,0,118.992,"D"
1988,0.00289,260533,0.915,0,"C",0.107,-7.888,0,119.852,"C"
1988,0.824,217160,0.6,1,"Gb",0.121,-10.426,1,91.722,"C"
2001,0.0288,238267,0.774,1,"Eb",0.0533,-6.066,1,124.994,"B"
1954,0.938,156893,0.171,0,"Eb",0.11,-19.102,0,62.02,"D"
